name,country,lat,lon
La Serena,CL,-29.9078,-71.2542
Matucana,PE,-11.85,-76.4
Svatay,RU,68.0582,151.7995
Payrin-Augmontel,FR,43.5445,2.3541
Arsenyevo,RU,49.2172,137.0852
Torreón,MX,25.5427,-103.4105
Englee,CA,50.7333,-56.1
Kuma,NG,6.9,11.3833
Stuart,US,42.5992,-99.1426
Biryusinsk,RU,55.9634,97.8235
Ban Wang O,TH,17.9248,100.8375
Kalumburu,AU,-14.295,126.6426
Полевое,RU,57.3503,90.5362
Орджоникидзевское,RU,54.7773,88.9637
Palangka Raya,ID,-2.2074,113.9165
Adjumani,UG,3.3753,31.7908
Objachevo,RU,60.334,49.6183
Esenboğa,TR,40.134,32.9852
Nyandoma,RU,61.669,40.1991
Hampden,CA,49.5333,-56.8667
Masaipet,IN,17.9068,78.4634
Tofaloglebi,GE,41.6,41.6
Carrabelle,US,29.8533,-84.6644
Jämjö,SE,56.8,16.6833
Nuojiang,CN,31.9156,107.2427
Хвойная,RU,58.8958,34.5121
Rosmead,ZA,-31.4892,25.1194
Baijia Laozhuang,CN,36.0768,108.256
Dos Cabezas,US,32.1754,-109.6134
Panhandle,US,35.3456,-101.3804
سيدي علي بن عن,TN,34.8507,9.1431
Tumbit Dayak,ID,1.8982,117.3212
La Poma,AR,-24.7225,-66.2007
Witvlei,NA,-22.4073,18.4935
Saint-Coeur-de-Marie,CA,48.6334,-71.6991
Sege,GH,5.8749,0.3617
Maria Neustift,AT,47.9334,14.6032
Yablis,NI,14.1667,-83.8167
Molkabad,IR,35.9993,59.5911
Толум,RU,60.5906,65.3195
Chapeltique,SV,13.6333,-88.2667
Ostrovskoye,RU,57.8057,42.2433
Midwest City,US,35.4495,-97.3967
Mora,US,35.9742,-105.33
Némiscau,CA,51.3167,-76.9
Salamanca,CL,-31.7805,-70.965
Loushan,CN,32.2061,114.5076
Āsandh,IN,29.5167,76.6
示范牧场,CN,43.2483,119.8657
San Jose de Chiquitos,BO,-17.8448,-60.7423
Quiuña,CL,-19.5179,-70.0388
Chiriguaná,CO,9.3624,-73.6031
Cujmir,RO,44.2067,22.9267
Лбищенское,KZ,49.7924,51.3911
Bo Rai,TH,12.5728,102.5371
Милысай,KZ,50.6557,62.6726
Châu Ố,VN,15.2979,108.7618
Novy Urgal,RU,51.0711,132.6055
Dillinya,AU,-15.8568,132.045
Los Tambillos,AR,-29.4252,-67.8146
Ellicott,US,38.8373,-104.3879
Uzmorye,RU,51.252,45.9172
Андреевка,KZ,52.9998,67.3814
Xiaochengzi,CN,42.89,123.2045
Magu,TZ,-2.59,33.4445
Бескарагай,KZ,50.8881,79.4807
Hudson's Hope,CA,56.0283,-121.9113
Tsiboka,MG,-21.2857,43.7942
Moctezuma,MX,29.8066,-109.6796
Brusque,BR,-27.0965,-48.9136
Бадагуй,RU,53.0226,105.2916
Костево,RU,57.6128,38.0104
Santa Luzia,BR,-1.9714,-53.7526
Brookland,US,35.9001,-90.582
Zhaoxing,CN,47.7212,131.3413
Hanbury,CA,47.5953,-79.6636
Bakaly,RU,55.1789,53.8028
Красная Слобода,RU,56.4319,44.1864
Chrostkowo,PL,52.9438,19.2533
Campo Novo de Rondônia,BR,-10.5704,-63.62
Tolbo,MN,48.4167,90.2833
Roberts,US,45.3593,-109.1679
Barra do Ouro,BR,-29.5807,-50.2813
